sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate	...76
[(2, 2), (2, 1), (2, 2), (2, 1), (2, 1), (2, 2), (0, 0), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	656.5972985000117	['right', 'right', 'left', 'right', 'left', 'left']	[5.006824999931268, 7.115977099980228, 9.38512929994613, 10.581228800001554, 12.815349599928595, 15.560625999933109]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(1, 1), (0, 2), (1, 1), (0, 0), (0, 2), (0, 0), (1, 0), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	673.5953438000288	['right', 'right', 'right', 'right', 'left', 'left']	[5.168095900095068, 7.659246800001711, 8.99662980006542, 11.667067800066434, 13.385939600062557, 15.652191700064577]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 0), (2, 2), (0, 2), (2, 2), (1, 0), (2, 2), (1, 2), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	690.591700399993	['left', 'right', 'left', 'right', 'left', 'right']	[5.099660799955018, 6.90683250001166, 9.095617900020443, 10.940041399910115, 12.875540199922398, 14.964792900020257]	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 1), (0, 0), (1, 2), (2, 1), (2, 0), (1, 2), (2, 0), (0, 1), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	709.3193518000189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	712.38660540001	713.4187992999796	['right', 'left', 'right', 'left', 'left', 'right']	[6.9317219000076875, 9.658931500045583, 11.393030700040981, 13.85525470005814, 15.452360399998724, 17.08952160004992]	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 2), (0, 2), (2, 1), (0, 2), (0, 2), (1, 1), (2, 1), (1, 1), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	732.3994593999814	['left', 'right', 'left', 'right', 'left', 'right']	[8.043716400046833, 9.137834000051953, 11.100939300027676, 13.161106200073846, 15.3563575000735, 16.76742330007255]	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(0, 0), (0, 0), (2, 0), (0, 0), (0, 2), (0, 0), (1, 0), (2, 0), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	751.3824003000045	['right', 'left', 'left', 'left', 'right']	[6.995927099953406, 9.071377699961886, 11.931503399973735, 13.161520499968901, 14.56953729991801]	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(1, 1), (1, 2), (1, 2), (0, 1), (1, 2), (1, 2), (0, 1), (0, 2), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	770.3805096999276	['left', 'right', 'right', 'left', 'left', 'left']	[6.881286700023338, 9.026456500054337, 11.424639699980617, 13.789113100036047, 14.981244200025685, 16.8496962999925]	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(1, 1), (1, 2), (2, 2), (1, 1), (1, 2), (2, 2), (2, 1), (0, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	789.3779809999978	['right', 'left', 'right', 'left', 'left', 'left']	[6.738390399958007, 9.75380549998954, 11.156863499898463, 12.8852149999002, 14.756504499935545, 16.972227499936707]	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(1, 2), (0, 0), (2, 0), (0, 0), (2, 0), (2, 0), (1, 0), (1, 0), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	808.3763562999666	['left', 'right', 'left', 'left', 'right', 'left']	[7.495293300016783, 9.069391599972732, 11.172529799980111, 12.988073999993503, 16.285966399940662, 16.84997250000015]	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
[(2, 2), (1, 1), (2, 1), (2, 0), (1, 1), (2, 1), (0, 0), (1, 2), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	0	0	587	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	830.5736782000167	['left', 'right', 'right', 'left', 'left', 'right']	[6.742028300068341, 9.127439100062475, 10.917505600024015, 12.819524000049569, 15.541830500005744, 16.946247400017455]	NA	NA	NA	NA	zaa	001	2026-02-10_11h54.56.414	SS	2023.1.0	60.017633175155154	NA
