imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate	...32
mr_images/9_a.png	mr_images/9_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	165	165	194	769.2813086002134	NA	NA	NA	NA	769.815363000147	769.815363000147	left	0	1.5824187002144754	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_b.png	mr_images/1_a_z_270.png	right	ccw	90	NA	NA	NA	NA	0	166	166	18	771.414285399951	NA	NA	NA	NA	771.9432753999718	771.9432753999718	left	0	2.7370353997685015	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_b.png	mr_images/1_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	167	167	15	774.7096434999257	NA	NA	NA	NA	775.2427290002815	775.2427290002815	right	0	2.9189523002132773	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/7_a.png	mr_images/7_b_z_270.png	right	ccw	90	NA	NA	NA	NA	0	168	168	174	778.1924816002138	NA	NA	NA	NA	778.7255751998164	778.7255751998164	left	0	1.9109505997039375	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/12_a.png	mr_images/12_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	169	169	49	780.6588563001715	NA	NA	NA	NA	781.1920400001109	781.1920400001109	right	0	2.775524899829179	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/5_b.png	mr_images/5_b_z_45.png	left	cw	45	NA	NA	NA	NA	0	170	170	133	783.9916550000198	NA	NA	NA	NA	784.5288780000992	784.5288780000992	right	0	2.213074999861419	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_b.png	mr_images/3_a_z_225.png	right	ccw	135	NA	NA	NA	NA	0	171	171	94	786.7621523002163	NA	NA	NA	NA	787.2911221999675	787.2911221999675	left	0	2.479906700085849	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_a.png	mr_images/9_a_z_90.png	left	cw	90	NA	NA	NA	NA	0	172	172	197	789.7908395999111	NA	NA	NA	NA	790.3239339999855	790.3239339999855	right	0	3.425303000025451	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/6_b.png	mr_images/6_a_z_90.png	right	cw	90	NA	NA	NA	NA	0	173	173	160	793.7736530001275	NA	NA	NA	NA	794.2913183998317	794.2913183998317	right	1	2.334893699735403	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/4_b.png	mr_images/4_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	174	174	110	796.6566003002226	NA	NA	NA	NA	797.2232221998274	797.2232221998274	left	0	1.1811202997341752	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_b.png	mr_images/9_b_z_225.png	left	ccw	135	NA	NA	NA	NA	0	175	175	215	798.4230089001358	NA	NA	NA	NA	798.9435433000326	798.9435433000326	right	0	1.56212309980765	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/5_b.png	mr_images/5_b_z_90.png	left	cw	90	NA	NA	NA	NA	0	176	176	137	800.5226149000227	NA	NA	NA	NA	801.0557451001368	801.0557451001368	right	0	3.4744937997311354	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_a.png	mr_images/1_a_z_90.png	left	cw	90	NA	NA	NA	NA	0	177	177	5	804.5559719000012	NA	NA	NA	NA	805.1251146998256	805.1251146998256	left	1	2.5001047998666763	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_a.png	mr_images/3_b_z_270.png	right	ccw	90	NA	NA	NA	NA	0	178	178	78	807.6425875001587	NA	NA	NA	NA	808.1900805002078	808.1900805002078	left	0	2.069173599593342	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/3_b.png	mr_images/3_b_z_225.png	left	ccw	135	NA	NA	NA	NA	0	179	179	95	810.2756035998464	NA	NA	NA	NA	810.821353700012	810.821353700012	right	0	2.2062702998518944	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_b.png	mr_images/1_a_z_90.png	right	cw	90	NA	NA	NA	NA	0	180	180	16	813.0542935002595	NA	NA	NA	NA	813.5876600001939	813.5876600001939	right	1	2.4811067995615304	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_b.png	mr_images/1_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	181	181	19	816.0872765001841	NA	NA	NA	NA	816.6370979002677	816.6370979002677	right	0	2.5323648997582495	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_b.png	mr_images/9_b_z_315.png	left	ccw	45	NA	NA	NA	NA	0	182	182	207	819.187181700021	NA	NA	NA	NA	819.7200124999508	819.7200124999508	right	0	2.547774000093341	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/1_b.png	mr_images/1_a_z_225.png	right	ccw	135	NA	NA	NA	NA	0	183	183	22	822.2864211001433	NA	NA	NA	NA	822.8196139000356	822.8196139000356	left	0	2.335263899993151	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/11_b.png	mr_images/11_a_z_90.png	right	cw	90	NA	NA	NA	NA	0	184	184	40	825.1860317001119	NA	NA	NA	NA	825.7359290998429	825.7359290998429	left	0	3.5017567998729646	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
mr_images/9_b.png	mr_images/9_a_z_135.png	right	cw	135	NA	NA	NA	NA	0	185	185	212	829.2686823001131	NA	NA	NA	NA	829.81889759982	829.81889759982	left	0	2.32294959994033	NA	NA	eaj	001	2026-03-03_17h51.56.934	MR	2023.1.0	59.85808839477207	NA
