sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate
[(1, 1), (1, 0), (1, 0), (2, 1), (1, 2), (2, 1), (1, 2), (1, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	461.92129749991	['left', 'left', 'left', 'right', 'right', 'left']	[4.789333100430667, 6.5986279007047415, 8.864184400066733, 10.487416800111532, 12.764734600670636, 14.573051100596786]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.544	SS	2023.1.0	60.1966504293597
[(0, 2), (0, 2), (1, 1), (0, 2), (2, 1), (0, 2), (2, 2), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	478.9500635992736	['left', 'right', 'left', 'right', 'left', 'left']	[5.1317382007837296, 7.2489254008978605, 8.873296100646257, 10.668146200478077, 12.793862100690603, 14.644002201035619]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.545	SS	2023.1.0	60.1966504293597
[(2, 0), (0, 1), (1, 2), (0, 1), (0, 2), (2, 1), (2, 2), (2, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	2	2	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	444.8881337996572	['left', 'right', 'left', 'left', 'left', 'right']	[4.686978900805116, 6.702471500262618, 8.607838100753725, 10.477029900066555, 12.477394800633192, 14.5210518008098]	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.546	SS	2023.1.0	60.1966504293597
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	513.2121156994253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.547	SS	2023.1.0	60.1966504293597
[(0, 2), (1, 1), (0, 2), (0, 2), (1, 1), (1, 1), (1, 2), (1, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	516.2947751991451	517.2948736995459	['right', 'right', 'left', 'left', 'right', 'left']	[6.996356899966486, 9.039221299928613, 10.812643599929288, 13.777002700022422, 15.00086339993868, 16.863738299929537]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.548	SS	2023.1.0	60.1966504293597
[(0, 2), (1, 0), (1, 0), (2, 0), (0, 1), (1, 0), (1, 2), (0, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	536.2585214991122	['left', 'left', 'right', 'left', 'right']	[6.678057400044054, 8.786730600055307, 11.499559400021099, 13.722088000038639, 15.210805700044148]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.549	SS	2023.1.0	60.1966504293597
[(0, 2), (0, 1), (2, 0), (0, 2), (0, 2), (2, 2), (0, 2), (1, 1), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	555.2892712997273	['left', 'right', 'left', 'left', 'right', 'left', 'right']	[6.842460299958475, 7.4916359999915585, 10.020970599958673, 11.381844599964097, 13.594001800054684, 15.879084200016223, 16.9855993000092]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.550	SS	2023.1.0	60.1966504293597
[(2, 0), (2, 0), (2, 1), (2, 2), (2, 0), (2, 2), (2, 1), (2, 2), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	574.2532039992511	['left', 'right', 'right', 'left', 'right', 'left']	[6.754976400057785, 10.220537799992599, 11.386324600083753, 12.947106500039808, 15.151409100042656, 17.049205400049686]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.551	SS	2023.1.0	60.1966504293597
[(0, 2), (2, 1), (1, 0), (0, 2), (0, 2), (2, 2), (1, 1), (0, 2), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	593.2839674996212	['right', 'left', 'left', 'left', 'right', 'left']	[6.963141900021583, 9.078752300003543, 12.106678599957377, 12.878637599991634, 15.625294800032862, 17.057989299995825]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.552	SS	2023.1.0	60.1966504293597
[(0, 1), (0, 0), (2, 0), (2, 0), (1, 2), (0, 1), (2, 0), (1, 2), (1, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	612.2826685998589	['left', 'left', 'right', 'right', 'right', 'left']	[7.428502499940805, 8.95210439991206, 11.315461699967273, 13.509188600000925, 15.678023900021799, 16.972441499936394]	NA	NA	NA	NA	aac	1	2026-06-01_13h48.46.553	SS	2023.1.0	60.1966504293597
