clr1p1	clr2p1	clr3p1	clr4p1	clr1p2	clr2p2	clr3p2	clr4p2	Hshow	Htest	stim_var	blank_clr	difficulty	answ	l_test	r_test	realclr2	realclr3	realclr	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	CC_resp_2.keys	CC_resp_2.corr	CC_resp_2.rt	CC_resp.keys	CC_resp.corr	CC_resp.rt	participant	session	date	expName	psychopyVersion	frameRate
#FCE4EC	#F06292	#D81B60	#880E4F	#FBE9E7	#000000	#F4511E	#BF360C	pink	d_orange	l_down	clr2	high	right	#FFAB91	#FF8A65	#FF8A65	#F4511E	NA	NA	NA	NA	NA	0	32	32	4	NA	NA	NA	right	1	1.86416605016333	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#004D40	#E0F2F1	#00897B	#4DB6AC	#3E2723	#EFEBE9	#000000	#A1887F	teal	brown	l_rand2	clr3	none	right	#FB8C00	#6D4C41	#EFEBE9	#6D4C41	NA	NA	NA	NA	NA	0	33	33	107	NA	NA	NA	right	1	1.53192143660854	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#E3F2FD	#64B5F6	#1E88E5	#0D47A1	#E0F2F1	#4DB6AC	#000000	#004D40	blue	teal	l_down	clr3	high	right	#00796B	#00897B	#4DB6AC	#00897B	NA	NA	NA	NA	NA	0	34	34	12	NA	NA	NA	right	1	1.83890113020665	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#004D40	#E0F2F1	#00897B	#4DB6AC	#BF360C	#FBE9E7	#000000	#FF8A65	teal	d_orange	l_rand2	clr3	low	right	#D84315	#F4511E	#FBE9E7	#F4511E	NA	NA	NA	NA	NA	0	35	35	59	NA	NA	NA	right	1	1.58367760475608	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#E0F2F1	#4DB6AC	#00897B	#004D40	#FFFDE7	#000000	#FDD835	#F57F17	teal	yellow	l_down	clr2	high	left	#FFF176	#FFF59D	#FFF176	#FDD835	NA	NA	NA	NA	NA	0	36	36	1	NA	NA	NA	left	0	1.54434949256131	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#1A237E	#E8EAF6	#3949AB	#7986CB	#01579B	#E1F5FE	#000000	#4FC3F7	indigo	l_blue	l_rand2	clr3	none	right	#00897B	#039BE5	#E1F5FE	#039BE5	NA	NA	NA	NA	NA	0	37	37	106	NA	NA	NA	right	1	1.10786802460323	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#FB8C00	#E65100	#FFF3E0	#FFB74D	#FDD835	#000000	#FFFDE7	#FFF176	orange	yellow	l_rand1	clr2	none	left	#F57F17	#33691E	#F57F17	#FFFDE7	NA	NA	NA	NA	NA	0	38	38	93	NA	NA	NA	left	1	1.55396759580006	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#B71C1C	#FFEBEE	#E53935	#E57373	#1A237E	#E8EAF6	#000000	#7986CB	red	indigo	l_rand2	clr3	none	right	#8E24AA	#3949AB	#E8EAF6	#3949AB	NA	NA	NA	NA	NA	0	39	39	105	NA	NA	NA	left	1	2.44888683402328	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#311B92	#5E35B1	#9575CD	#EDE7F6	#1B5E20	#000000	#81C784	#E8F5E9	d_purple	green	l_up	clr2	high	right	#4CAF50	#43A047	#43A047	#81C784	NA	NA	NA	NA	NA	0	40	40	62	NA	NA	NA	left	0	1.04348180519999	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#0D47A1	#E3F2FD	#1E88E5	#64B5F6	#4A148C	#000000	#8E24AA	#BA68C8	blue	purple	l_rand2	clr2	none	left	#F3E5F5	#FFEBEE	#F3E5F5	#8E24AA	NA	NA	NA	NA	NA	0	41	41	101	NA	NA	NA	right	1	1.13416395131149	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#E8EAF6	#7986CB	#3949AB	#1A237E	#FFF3E0	#FFB74D	#000000	#E65100	indigo	orange	l_down	clr3	none	left	#FB8C00	#E53935	#FFB74D	#FB8C00	NA	NA	NA	NA	NA	0	42	42	86	NA	NA	NA	left	1	1.73236636915594	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
#EFEBE9	#A1887F	#6D4C41	#3E2723	#E8F5E9	#000000	#43A047	#1B5E20	brown	green	l_down	clr2	high	left	#81C784	#A5D6A7	#81C784	#43A047	NA	NA	NA	NA	NA	0	43	43	2	NA	NA	NA	right	1	2.1179439486505	aaf	1	2026-06-01_14h43.31.200	MCT	2023.1.0	60.02374473942527
