sequence	training_session.thisRepN	training_session.thisTrialN	training_session.thisN	training_session.thisIndex	training_2n.thisRepN	training_2n.thisTrialN	training_2n.thisN	training_2n.thisIndex	training_3n.thisRepN	training_3n.thisTrialN	training_3n.thisN	training_3n.thisIndex	training_4n.thisRepN	training_4n.thisTrialN	training_4n.thisN	training_4n.thisIndex	allrep_2nback.thisRepN	allrep_2nback.thisTrialN	allrep_2nback.thisN	allrep_2nback.thisIndex	trials_2nback.thisRepN	trials_2nback.thisTrialN	trials_2nback.thisN	trials_2nback.thisIndex	allrep_3nback.thisRepN	allrep_3nback.thisTrialN	allrep_3nback.thisN	allrep_3nback.thisIndex	trials_3nback.thisRepN	trials_3nback.thisTrialN	trials_3nback.thisN	trials_3nback.thisIndex	allrep_4nback.thisRepN	allrep_4nback.thisTrialN	allrep_4nback.thisN	allrep_4nback.thisIndex	trials_4nback.thisRepN	trials_4nback.thisTrialN	trials_4nback.thisN	trials_4nback.thisIndex	buffer02_txt.started	test_griddot_resp2.started	test_griddot_resp2.keys	test_griddot_resp2.rt	buffer23_txt.started	test_griddot_resp3.started	test_griddot_resp3.keys	test_griddot_resp3.rt	buffer34_txt.started	test_griddot_resp4.started	test_griddot_resp4.keys	test_griddot_resp4.rt	confirm_resp.started	confirm_resp.keys	confirm_resp.rt	instr_text_2.started	buffer02_txt.stopped	griddot_resp2.started	griddot_resp2.keys	griddot_resp2.rt	buffer23_txt.stopped	griddot_resp3.started	griddot_resp3.keys	griddot_resp3.rt	buffer34_txt.stopped	griddot_resp4.started	griddot_resp4.keys	griddot_resp4.rt	participant	session	date	expName	psychopyVersion	frameRate
[(2, 1), (2, 1), (0, 2), (2, 1), (0, 1), (2, 1), (2, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	3	3	302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	604.1638852999313	['left', 'right', 'left', 'right', 'left', 'left']	[4.741748600034043, 6.683214299962856, 8.75431650003884, 10.633476000046358, 12.68764270003885, 14.802772099967115]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (1, 1), (1, 1), (2, 2), (1, 1), (0, 2), (2, 2), (0, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	4	4	671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	621.1618099999614	['left', 'left', 'right', 'left', 'right', 'right']	[5.376541799982078, 6.792590799974278, 8.933851899928413, 10.843908899929374, 12.683045499958098, 15.170290099922568]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 0), (0, 1), (2, 2), (0, 2), (2, 2), (0, 2), (1, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	0	5	5	83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	638.1596470000222	['left', 'left', 'right', 'right', 'left', 'left']	[4.641949800075963, 6.6831129000056535, 8.599069599993527, 10.676189800025895, 12.774289400083944, 14.865535499993712]	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (0, 1), (0, 0), (2, 2), (0, 1), (0, 0), (2, 0), (2, 1), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	655.5243296999251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	658.6029788999585	659.5894894999219	['left', 'right', 'right', 'left', 'left', 'left']	[6.659765799995512, 8.656731899944134, 10.647526599932462, 12.8876776000252, 15.282896499964409, 17.619295499986038]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 0), (1, 2), (0, 2), (0, 2), (1, 2), (0, 2), (0, 2), (1, 2), (1, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	1	332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	678.5999974999577	['left', 'right', 'right', 'left', 'right', 'left']	[6.656998399994336, 8.781990799936466, 10.792267699958757, 12.850347299943678, 15.606618299963884, 17.264067800017074]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(0, 2), (2, 1), (1, 1), (0, 2), (2, 1), (1, 2), (1, 0), (1, 0), (0, 1)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	2	2	507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	697.5839535999112	['right', 'right', 'left', 'left', 'left', 'right']	[6.668549100053497, 8.612709900015034, 10.601178499986418, 12.93328580004163, 15.200712200021371, 17.850946000078693]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(2, 2), (1, 2), (0, 2), (2, 2), (1, 1), (2, 0), (1, 0), (0, 2), (2, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	3	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	716.577845599968	['right', 'left', 'left', 'left', 'left', 'right']	[6.557919399929233, 8.629025099915452, 10.63708829996176, 12.732263599988073, 15.491513299988583, 17.612539099995047]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (1, 2), (1, 2), (0, 1), (1, 2), (0, 0), (0, 1), (0, 1), (0, 0)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	4	4	466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	735.5921967999311	['left', 'right', 'left', 'right', 'left', 'right']	[6.588057699962519, 8.58124059997499, 10.556303399964236, 12.802410300006159, 14.975840299972333, 17.025852599996142]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
[(1, 2), (1, 2), (0, 2), (2, 2), (0, 2), (0, 2), (1, 2), (0, 2), (2, 2)]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	5	5	609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	754.5939965000143	['left', 'left', 'right', 'left', 'right', 'left']	[6.55289890000131, 8.617020100005902, 10.571152999997139, 12.756726299994625, 15.095961400074884, 17.094145699986257]	NA	NA	NA	NA	aaf	1	2026-06-01_10h32.14.043	SS	2023.1.0	59.956172025593155
