clr1p1,clr2p1,clr3p1,clr4p1,clr1p2,clr2p2,clr3p2,clr4p2,Hshow,Htest,stim_var,blank_clr,difficulty,answ,l_test,r_test,realclr2,realclr3,realclr,fake_hue,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CC_resp_2.keys,CC_resp_2.corr,CC_resp_2.rt,CC_resp.keys,CC_resp.corr,CC_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
#43A047,#1B5E20,#E8F5E9,#81C784,#00897B,#004D40,#000000,#4DB6AC,green,teal,l_rand1,clr3,high,right,#B2DFDB,#E0F2F1,#004D40,#E0F2F1,#E0F2F1,teal,,,,,0,54,54,26,,,,right,1,1.2375032003037632,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#FF6F00,#FFF8E1,#FFB300,#FFD54F,#880E4F,#000000,#D81B60,#F06292,amber,pink,l_rand2,clr2,none,left,#FCE4EC,#EDE7F6,#FCE4EC,#D81B60,#FCE4EC,d_purple,,,,,0,55,55,83,,,,right,0,1.2129091005772352,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#F3E5F5,#BA68C8,#8E24AA,#4A148C,#FBE9E7,#FFB74D,#000000,#BF360C,purple,d_orange,l_down,clr3,low,left,#F4511E,#D84315,#FF8A65,#F4511E,#F4511E,d_orange,,,,,0,56,56,13,,,,left,1,0.8135649003088474,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#004D40,#E0F2F1,#00897B,#4DB6AC,#E65100,#000000,#FB8C00,#FFB74D,lime,orange,l_rand2,clr2,low,right,#FFCC80,#FFF3E0,#FFF3E0,#FB8C00,#FFF3E0,orange,,,,,0,57,57,37,,,,right,1,0.792505900375545,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#1A237E,#3949AB,#7986CB,#E8EAF6,#311B92,#5E35B1,#000000,#EDE7F6,indigo,d_purple,l_up,clr3,low,left,#9575CD,#673AB7,#5E35B1,#9575CD,#9575CD,d_purple,,,,,0,58,58,59,,,,left,1,0.5705091003328562,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#33691E,#7CB342,#AED581,#F1F8E9,#880E4F,#000000,#F06292,#FCE4EC,l_green,pink,l_up,clr2,none,left,#D81B60,#5E35B1,#D81B60,#F06292,#D81B60,d_purple,,,,,0,59,59,89,,,,left,1,0.7271266002207994,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#E8EAF6,#7986CB,#3949AB,#1A237E,#FFF3E0,#FFB74D,#000000,#E65100,indigo,orange,l_down,clr3,none,left,#FB8C00,#E53935,#FFB74D,#FB8C00,#FB8C00,red,,,,,0,60,60,69,,,,left,1,0.7911034002900124,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#880E4F,#D81B60,#F06292,#FCE4EC,#B71C1C,#000000,#E57373,#FFEBEE,pink,red,l_up,clr2,low,right,#EF5350,#E53935,#E53935,#E57373,#E53935,red,,,,,0,61,61,54,,,,right,1,0.8475062004290521,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#3949AB,#1A237E,#E8EAF6,#7986CB,#FB8C00,#000000,#FFF3E0,#FFB74D,indigo,orange,l_rand1,clr2,low,right,#F57C00,#E65100,#E65100,#FFF3E0,#E65100,orange,,,,,0,62,62,21,,,,right,1,0.6647944003343582,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#827717,#C0CA33,#DCE775,#F9FBE7,#004D40,#000000,#4DB6AC,#E0F2F1,lime,teal,l_up,clr2,high,right,#009688,#00897B,#00897B,#4DB6AC,#00897B,teal,,,,,0,63,63,50,,,,right,1,0.6770687005482614,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
#F4511E,#BF360C,#FBE9E7,#FF8A65,#43A047,#1B5E20,#000000,#81C784,d_orange,green,l_rand1,clr3,low,left,#E8F5E9,#A5D6A7,#1B5E20,#E8F5E9,#E8F5E9,green,,,,,0,64,64,30,,,,right,0,0.5630968003533781,FID,1,2026-04-24_08h47.19.096,MCT,2023.1.0,60.06298217307046
