imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	byebye_text.stopped	participant	session	date	expName	psychopyVersion	frameRate
mr_images/7_b.png	mr_images/7_a_z_270.png	right	ccw	90	0,2166401197901	NA	NA	NA	0	148	148	186	498.531412700191	NA	NA	NA	NA	577.587106800173	577.587106800173	left	0	1.58968540783971	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/5_a.png	mr_images/5_b_z_225.png	right	ccw	135	0,747377018094994	NA	NA	NA	0	149	149	130	500.764461200219	NA	NA	NA	NA	424.641695300117	424.641695300117	left	0	2.64547316534445	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/7_b.png	mr_images/7_b_z_315.png	left	ccw	45	0,898133515031077	NA	NA	NA	0	150	150	183	503.030697300099	NA	NA	NA	NA	326.038603099994	326.038603099994	left	1	2.15857605040073	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/11_a.png	mr_images/11_b_z_270.png	right	ccw	90	0,694969039293937	NA	NA	NA	0	151	151	30	504.597221999895	NA	NA	NA	NA	520.028418600094	520.028418600094	left	0	3.82038975046016	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/5_b.png	mr_images/5_a_z_225.png	right	ccw	135	0,170844753622077	NA	NA	NA	0	152	152	142	506.930172599852	NA	NA	NA	NA	434.208470900077	434.208470900077	left	0	1.89681392041966	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/12_b.png	mr_images/12_b_z_45.png	left	cw	45	0,227161864400841	NA	NA	NA	0	153	153	61	508.580043700058	NA	NA	NA	NA	478.034216300119	478.034216300119	left	1	1.71170922960154	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/3_a.png	mr_images/3_b_z_270.png	right	ccw	90	0,779521455639042	NA	NA	NA	0	154	154	78	511.196323700249	NA	NA	NA	NA	276.095898400061	276.095898400061	left	0	3.31082425042987	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/6_b.png	mr_images/6_a_z_225.png	right	ccw	135	0,323977347812615	NA	NA	NA	0	155	155	166	512.812797700055	NA	NA	NA	NA	456.820452400018	456.820452400018	left	0	4.1633115163073	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/7_b.png	mr_images/7_b_z_45.png	left	cw	45	0,390900247613899	NA	NA	NA	0	156	156	181	515.345723100007	NA	NA	NA	NA	154.845764200203	154.845764200203	left	1	2.91808262062259	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
mr_images/1_b.png	mr_images/1_b_z_225.png	left	ccw	135	0,580712609109469	NA	NA	NA	0	157	157	23	517.128750000149	NA	NA	NA	NA	402.834058700129	402.834058700129	right	0	3.19775623828173	NA	NA	aab	1	2026-06-01_14h49.26.589	MR	2023.1.0	60.0076570632885
