imagefile	stimfile	corrAns	MRdir	angle	training.thisRepN	training.thisTrialN	training.thisN	training.thisIndex	mentalrot_trials.thisRepN	mentalrot_trials.thisTrialN	mentalrot_trials.thisN	mentalrot_trials.thisIndex	blank.started	mr_answ_2.started	mr_answ_2.keys	mr_answ_2.corr	mr_answ_2.rt	blank.stopped	mr_answ.started	mr_answ.keys	mr_answ.corr	mr_answ.rt	byebye_text.started	participant	session	date	expName	psychopyVersion	frameRate	...31
mr_images/4_a.png	mr_images/4_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	155	155	97	757.9265498999739	NA	NA	NA	NA	758.4597046999261	758.4597046999261	right	0	2.191766200005077	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/11_a.png	mr_images/11_a_z_270.png	left	ccw	90	NA	NA	NA	NA	0	156	156	31	760.6760929999873	NA	NA	NA	NA	761.2092054999666	761.2092054999666	right	0	3.676254499936476	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_a.png	mr_images/5_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	157	157	121	764.9088336999994	NA	NA	NA	NA	765.4458779999986	765.4458779999986	right	0	4.436744799953885	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/12_b.png	mr_images/12_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	158	158	67	769.9124263999984	NA	NA	NA	NA	770.4412932998966	770.4412932998966	right	0	4.698206900036894	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/11_b.png	mr_images/11_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	159	159	38	775.1574339999352	NA	NA	NA	NA	775.6906196000054	775.6906196000054	left	0	2.563081400003284	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_b.png	mr_images/1_a_z_315.png	right	ccw	45	NA	NA	NA	NA	0	160	160	14	778.2737359999446	NA	NA	NA	NA	778.8267430999549	778.8267430999549	left	0	2.8364156000316143	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_b.png	mr_images/1_a_z_90.png	right	cw	90	NA	NA	NA	NA	0	161	161	16	781.6941026999848	NA	NA	NA	NA	782.2276013999945	782.2276013999945	left	0	3.326494300039485	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/9_a.png	mr_images/9_a_z_45.png	left	cw	45	NA	NA	NA	NA	0	162	162	193	785.5768047999591	NA	NA	NA	NA	786.1058475999162	786.1058475999162	right	0	3.780714599997737	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/5_b.png	mr_images/5_b_z_135.png	left	cw	135	NA	NA	NA	NA	0	163	163	141	789.9053965999046	NA	NA	NA	NA	790.4617678999202	790.4617678999202	None	0	NA	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/9_a.png	mr_images/9_b_z_225.png	right	ccw	135	NA	NA	NA	NA	0	164	164	202	795.4088193998905	NA	NA	NA	NA	NA	795.937612199923	left	0	2.039339300012216	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/7_a.png	mr_images/7_b_z_45.png	right	cw	45	NA	NA	NA	NA	0	165	165	168	798.0041367999511	NA	NA	NA	NA	798.5374605999095	798.5374605999095	left	0	1.9086553000379352	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_b.png	mr_images/4_b_z_270.png	left	ccw	90	NA	NA	NA	NA	0	166	166	115	800.4708689999534	NA	NA	NA	NA	801.0096380999312	801.0096380999312	right	0	2.3295299999881536	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/12_a.png	mr_images/12_b_z_315.png	right	ccw	45	NA	NA	NA	NA	0	167	167	50	803.3577401998919	NA	NA	NA	NA	803.9032885999186	803.9032885999186	left	0	3.1760948000010103	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/1_a.png	mr_images/1_b_z_90.png	right	cw	90	NA	NA	NA	NA	0	168	168	4	807.1029240998905	NA	NA	NA	NA	807.6361630999018	807.6361630999018	right	1	4.854245899943635	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/9_a.png	mr_images/9_b_z_90.png	right	cw	90	NA	NA	NA	NA	0	169	169	196	812.5190877999412	NA	NA	NA	NA	813.068918999983	813.068918999983	left	0	2.406270800041966	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/12_b.png	mr_images/12_a_z_45.png	right	cw	45	NA	NA	NA	NA	0	170	170	60	815.5019931999268	NA	NA	NA	NA	816.0350097999908	816.0350097999908	left	0	4.030985799967311	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/4_a.png	mr_images/4_a_z_90.png	left	cw	90	NA	NA	NA	NA	0	171	171	101	820.0845176998992	NA	NA	NA	NA	820.6177797999699	820.6177797999699	right	0	1.9171464999672023	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
mr_images/3_b.png	mr_images/3_a_z_90.png	right	cw	90	NA	NA	NA	NA	0	172	172	88	822.5717627999838	NA	NA	NA	NA	823.1173841999844	823.1173841999844	left	0	1.9961637000087649	NA	cio	001	2026-02-13_13h35.10.208	MR	2023.1.0	59.916045653224465	NA
